deu_2012,xbnl_2012,xfra_2012
81415800,31044600,75668600
79459300,30027700,72710200
75238200,28350800,68273600
71543800,26711300,64230900
69259500,25652200,66123600
64156100,24405600,64934100
60290400,22417800,60699900
57968100,21023100,60159700
56575300,20307600,58180500
56742000,20050800,55954900
57605800,20102100,56149300
60699800,21032500,59893500
68406100,23739300,67350300
75893800,27644400,72945900
77662700,29494500,72591300
77923800,30149700,72742600
79304100,30460800,72373300
80274800,30711200,72775000
79469700,30260800,72048200
78664600,30352200,70871500
77885900,30064900,69301000
76868000,30027000,68054600
76158300,30214400,68181300
79740000,31229600,71995100
80330000,31214500,76832500
78063000,30273200,73923200
72997600,28714900,69470900
69137600,26952800,65660900
66955700,25817700,68211700
62682700,24559800,66805200
58388000,22628200,62407900
55782800,21437100,61964900
54669400,20744500,59899400
54901700,20424600,58050900
56089900,20540500,58366200
59027500,21230300,62308700
66969500,23833600,69633000
75078300,27588700,75717700
77945700,29422000,75607700
77774300,29945500,75292400
78968200,30006800,74100000
79599600,29945200,73218000
78860100,29199100,72005000
76919700,28954800,69672200
75329000,28714400,67708800
74656200,28325500,66203100
74602100,28258700,66246300
78242400,29711000,70568000
78731300,30235500,75303200
76432000,29085800,72616900
71749600,27528700,68845200
68302500,25735900,65836800
66468000,25145200,68603600
62434300,24305200,67376800
58546700,22460000,62774300
55963400,21026700,61894200
54255300,19978200,59443600
53916000,19513900,57037200
53709000,19148300,56412600
52612900,19269300,57730700
52347200,20060600,60002500
55812700,21463000,63158300
60188000,23321800,65473300
64125100,25066000,67420100
66127500,26029200,67225600
66956800,26192900,67647000
66005600,26026700,68841300
63838700,25560800,65638400
62486100,25174200,63537400
61777500,24675900,62336200
62172100,24825600,62260600
66931500,26476200,66701100
68276100,27703000,71399900
65919400,26839300,69747900
61965000,25570400,66767900
59379400,24227500,64495100
59442700,23791300,68142000
56839800,22985100,67683300
53690600,21450100,63804600
50849600,20283200,63118000
49385500,19381900,60567300
48466500,18773400,57855400
47812000,18499000,56785800
46728500,18529600,57205200
44609900,18956100,58438800
46352400,19587600,60286400
50381500,20834100,62289100
54380700,22475400,65458600
57800200,23790600,67393500
60766500,24517700,68481800
60459400,25055000,69680100
58156800,24686600,65824000
56554600,24179800,63428400
55746000,23784000,62187900
56080700,23931400,62689800
61323200,25917300,67270800
64025000,27154000,72962600
62614900,26759600,73007800
59968300,25901300,70293000
58843400,24583700,67976000
59785400,23819900,70556200
56869700,22597900,69518000
53880400,21093700,66010600
51963000,20105900,65816100
50654100,19486800,63988300
50722000,19079700,62111300
52128700,19044700,62582700
55844900,19693400,67042900
64506900,22202600,74674600
73157500,25793000,80443000
